course_id,professor_id,rating,comment,date_posted
10,11,2,I'm taking this teacher's 5001 course in Fall 2022. and I just finished the midterm. which wasn't too hard. I'm not sure what the final will be like. But so far. the teacher's instruction is mediocre. and the classes involve a lot of time-wasting. Students with a background in the subject should find his class an easy A. However. if you lack the background and really want to learn. you won't get much out of this teacher's course.,2024-04-22T10:37:30.485
3,50,4,Very patient. quick to respond to emails. generous with grading. and offers opportunities for bonus tasks. Midterm exams and a final project. Slides are concise. Like many CS courses. it still requires some self-study.,2024-04-22T10:37:30.486
3,5,5,The workload is somewhat heavy. and the object-oriented assignments mainly involve repetitive coding. designing classes to fulfill various function requirements. which is rather dull but still time-consuming. The exams also have a significant number of questions. During the era I attended. we still had to go to the classroom for exams. requiring handwritten Java classes. It was nearly impossible to finish without getting hand cramps. but Abi was generally considerate towards students. likely offering opportunities for retakes.,2024-04-22T10:37:30.487
3,5,5,American teacher. with a pure accent.,2024-04-22T10:37:30.488
3,5,3,Average. the lecture is not clear. it's like you're self-studying throughout the course.,2024-04-22T10:37:30.489
48,56,1,Lacks a strong foundation in computing. many question his coding ability. The class is entirely group discussion. almost zero teaching. and he has a perfect excuse to avoid exposing his teaching ability: 'you guys are master students. you need to learn by yourself'. The DB course completely utilized the resources. videos. and homework of a teacher from Seattle. One of the least competent teachers at the Vancouver campus.,2024-04-22T10:37:30.490
48,56,1,One homework and one lab every week. all coding. After week ten. there's a final project. no more HW and lab. Midterms and final exams are closed book. but grades will be curved up. There's a group presentation in the second to last week of the final term.,2024-04-22T10:37:30.491
5,7,1,There were comments before that the grading isn't high. but the teaching is serious. really? The Fall 2022 lecture experience was extremely bad. the workload was huge. the TA was not bad. but this professor graded very poorly. a bunch of us sent emails to the college to complain and argue about grades.,2024-04-22T10:37:30.492
18,11,2,The teacher always gets the example problems wrong in class. not a single class goes by without mistakes. and even when students point them out she struggles to respond on the spot. sometimes needing us to go to the blackboard to help her write the solutions. It feels like paying tuition to teach the teacher. Homework and exams both require showing work steps. She said no calculators were needed for the exams because the final answers didn't have to be calculated. but then there's no standard for the steps. after the exam we heard that writing out 21^7 as seven 21s multiplied together was considered fully showing the steps...,2024-04-22T10:37:30.493
18,11,4,The homework answers are easy to find. and the workload is light. with one assignment every 2-3 weeks. consisting of 4-5 questions. The grading is good. An A- is quite manageable. while an A requires above 95%. Additional The course is extremely easy. and the teacher is considerate. The teacher's classes are very relaxed; each session starts with half an hour of distributing pizza to everyone. followed by a casual lecture for just over an hour. after which he usually ends the class early. It's really an easy course. All you need to do is sign in for each class (missing a few doesnt really matter; in the end. full attendance is given to the entire class). Homework is assigned every three weeks. usually about four questions. which can be directly found on Google as they are often the same problems used at other schools. allowing for direct copying. Normally. it feels like there's hardly any need to attend this course. Just pay a little attention to reviewing before midterms and finals. studying a few days is generally enough. Scoring 90 is easy. but getting above 94 is somewhat challenging.,2024-04-22T10:37:30.494
