professor_id,name,campus_id
1,Abigail(Abi) Evans,3
2,Abraham Bagherjeiran,3
3,Aibin Michal,6
4,Alan Jamieson,4
5,Alex Donaldson,3
6,Alexander Lash,4
7,Alonso,1
8,Andrew Jelani,2
9,Anthony(Tony) Mullen,1
10,Anthony(Tony) Mullen,3
11,Anthony(Tony) Mullen,4
12,Anthony(Tony) Mullen,2
13,Anurag,3
14,Austin Jorgensen (Hunter),3
15,Bogden Philip,3
16,Bruce Maxwell,1
17,Changizi Neda,6
18,Craig Martell,4
19,Cross Brian,3
20,David Smith,4
21,David Stalfa,4
22,Divya Chaudhary,3
23,Domingo Genao,1
24,Drew Van Der Poel,3
25,Francisco(Paco) Mesch,4
26,Hailpern Brent,3
27,Hamandi Lama,3
28,Hamidreza Jahanjou,4
29,Huy Nguyên,2
30,Ian Gorton,2
31,Jack Tomas,1
32,Jeongkyu Lee,3
33,Jeongkyu Lee,1
34,Jodi Tims,4
35,John Rachlin,4
36,John Guerra,1
37,John Guerra,4
38,John Wilder,3
39,John Wilder,2
40,Jonathan Mwaura,4
41,Jose Annunziato,1
42,Jose Annunziato,4
43,Justin Kennedy,4
44,Kanaka Saripalli,1
45,Kanaka Saripalli,4
46,Keith Bagley,4
47,Lino Coria Mendoza,6
48,Logan Schmidt,6
49,Maria Jump,4
50,Mark Miller,3
51,Martin Schedlbauer,1
52,Maryam Farahmand Asil,3
53,Matt Higger,4
54,Michael Shah,1
55,Mohammadhossein Toutiaee,3
56,Mona Ali,6
57,Oscar Veliz,4
58,Paul Hand,4
59,PREDRAG RADIVOJAC,1
60,Rahul Bhagat,3
61,Rahul Bhagat,1
62,Raman Chandrasekar,4
63,Renee Muller,6
64,Ricardo Baeza-Yates,4
65,Richard Hoshino,6
66,Running Wolf,1
67,Sara Arunagiri,1
68,Sarita Singh,1
69,Sarita Singh,4
70,Scott Valcourt,1
71,Shivakumar Mathapathi,4
72,Smruthi Mukund,1
73,Sophine Clachar,3
74,Steven Shafer,4
75,Tamara Bonaci,1
76,Tehmina Amjad,3
77,Thomas Jack,6
78,Tom Cheng,4
79,Uzair Ahmad,1
80,Vinayak Rao,4
81,Yvonne Monica Coady,6
82,Zhifeng Sun,1
